x,y,token
-21.349157,40.076733,need
-21.913408,45.744316,wait
-25.401182,-2.1769817,case
55.138237,4.109765,Pharaoh
38.560364,16.226295,master
52.258713,10.782051,princes
32.968956,35.246136,Wherefore
-22.07228,-33.577263,silent
-55.38238,-4.208249,early
33.27537,35.399937,Because
38.102276,-22.094385,iron
45.766907,-24.56422,length
23.866928,25.6652,receive
4.782489,-52.319138,line
40.389126,24.15663,concerning
-20.125217,36.16057,fellow
-44.07133,-25.173279,added
-18.442478,20.071487,beginning
34.856136,-22.02508,heads
-54.83818,6.0640316,visit
22.900623,25.155935,surely
24.305342,27.984125,serve
-42.374893,39.235386,wanted
-59.430508,15.178537,Edward
-25.658745,31.283363,pretty
-21.678043,-44.732452,instant
53.682076,7.5397525,multitude
-1.2861453,-15.564605,cold
-48.925888,21.175303,spirits
-34.88736,27.151001,change
43.963223,-8.951415,offerings
46.29855,39.93919,42
-43.42249,21.891556,general
-22.298708,27.376682,except
-38.84002,39.620712,pleased
-51.817017,24.59665,subject
62.450657,13.485714,Levites
32.26875,37.08334,Be
54.284233,-16.786762,twelve
20.150589,24.575048,wisdom
21.031084,29.99162,rise
45.89447,40.137623,44
54.31111,5.850346,host
-3.4126987,44.195084,wrong
21.911865,-9.198997,filled
24.070381,24.704273,lest
-27.956257,38.389423,doing
49.82885,30.312897,Abraham
4.9088902,54.156013,Your
-4.7173,34.099415,secret
55.837883,3.6541514,Philistines
29.964859,-19.320734,foot
70.18974,14.306888,lived
30.583502,3.2553725,lie
-10.654466,24.290648,play
-22.358017,-39.128605,held
-43.145386,23.27142,real
25.93308,24.362762,doth
-55.769863,3.0282586,town
4.2914896,51.27104,Enter
48.318466,12.551793,Jews
44.577427,26.253819,prophet
-28.570562,-49.22998,Stubb
31.994864,-2.2622247,break
-36.300526,35.594185,comfort
-27.04881,39.41999,question
63.812443,11.091764,tribe
58.09552,21.170069,bare
-24.483908,27.903292,sometimes
-40.69061,26.202919,account
-15.473762,-25.155046,beautiful
38.50624,-3.7626793,houses
54.198017,-17.618353,thirty
58.155014,22.296135,Joseph
-14.523805,38.270245,won
34.005417,-32.399868,mountains
17.129683,3.8176873,ears
-0.51471543,-56.238632,Queequeg
-61.290794,13.069186,Dashwood
-19.161871,22.841452,seems
-21.897842,45.643196,stay
-58.8245,15.4550905,Louisa
23.985794,41.179585,wilt
26.82036,16.971338,yea
30.283115,17.772877,righteous
47.5541,-5.80104,ark
44.971233,-16.664558,stones
20.808058,27.773928,kill
21.293339,33.673336,follow
42.181087,-4.093576,therein
47.8143,11.39571,disciples
-21.0878,-38.13069,taking
-19.374031,27.469946,late
34.049137,40.503376,Take
39.064983,23.168064,prophets
-45.58289,15.519547,state
-19.700666,8.565717,order
50.110157,21.61134,Paul
