x,y,token
50.894356,-12.582922,pharaoh
50.365147,26.366995,length
-60.512398,-18.720684,mr_knightley
-43.40957,28.812307,added
-54.829475,-7.476072,visit
-11.134128,-43.666885,stay
-30.867155,-34.10224,wanted
-56.79591,-16.425499,edward
11.167713,-44.304863,serve
58.526756,-1.3888263,south
-15.367478,16.928705,town
-19.968628,-22.119127,change
-23.055376,43.78838,instant
5.2646623,-54.823086,st
52.314133,-9.222451,multitude
-52.480278,-22.041624,pleased
-14.636151,11.553325,whales
-54.84515,-4.112431,street
41.90528,-40.300697,42
68.47053,2.9079137,twelve
57.432,-30.10783,prophet
-1.062013,17.753605,beautiful
-14.18467,-42.410233,wrong
-49.147655,-16.891033,subject
52.839287,-11.023827,host
26.170351,10.808659,filled
22.341858,-21.542986,lie
64.1969,-21.543156,levites
-23.337122,-34.954105,doing
-14.394015,-23.973322,secret
3.2804708,20.930365,watch
41.377068,-39.72899,44
-28.331217,4.568278,lived
31.185732,4.445218,break
-11.862222,-5.738881,real
-11.982371,38.69778,held
9.197813,-13.671639,song
46.19264,-35.07368,abraham
13.145022,57.762394,foot
53.963654,-9.5979595,philistines
67.13862,3.165967,thirty
42.126324,-24.894924,jews
-29.522892,-36.520363,question
-47.049763,-33.42863,comfort
58.530563,-1.3500135,east
32.96007,18.51635,mountains
15.539687,5.770024,hell
40.779446,5.725879,houses
-20.542242,-4.9039683,seems
-36.8714,-21.21789,account
-22.940948,50.61542,stubb
-18.269938,39.571716,taking
11.815081,-42.648796,command
47.07026,2.8357008,temple
23.955526,7.8446527,bow
67.79484,-22.365826,tribe
-54.575066,27.828873,louisa
52.992924,-24.799055,bare
36.30316,-7.3006573,therein
55.37834,-23.537582,joseph
15.657164,-33.34154,righteous
7.9984384,-45.105328,kill
-16.510874,-13.358582,order
24.651964,-33.154022,throne
32.472073,13.17347,beast
-21.494432,50.008266,queequeg
47.930637,3.370509,ark
15.166602,-11.290815,ears
14.597023,-30.30036,tongue
-19.384106,-26.459126,late
46.40271,15.830843,stones
58.54662,-1.3383443,north
-60.560085,-18.726,mrs_weston
-26.268583,11.549887,story
44.327484,-29.390669,prophets
-36.82089,21.60535,everything
53.70297,-14.443996,smote
43.942425,-22.340391,disciples
-35.451633,3.8124144,smile
-7.531112,60.690025,sitting
-38.002224,4.490719,speaking
44.112587,-24.187008,paul
19.954988,6.7024884,horses
1.7756498,-17.606522,entered
53.34075,11.30766,sacrifice
-2.6632042,-28.493374,believed
13.487371,52.31175,arms
-18.10288,-30.523996,talking
51.256344,-14.348269,departed
19.80593,-25.54536,wrath
24.853241,40.66758,bright
11.598887,-39.286106,trust
-53.208744,-4.992639,met
19.884962,4.703332,lifted
25.169994,39.148277,sky
-7.9698315,46.00968,caught
-53.983643,-23.069279,perfectly
20.296263,20.397547,plain
-4.818806,6.7677155,human
8.339933,-30.222366,understanding
25.867987,-17.787086,stranger
39.83249,-9.670152,inheritance
52.404716,-4.8365455,dwelt
-45.640575,32.860268,turning
18.149935,53.873222,hat
-2.2984102,-4.605708,rich
39.72104,25.264862,heads
52.04649,-0.99721587,thence
50.08368,-2.2436128,built
4.29651,-40.07389,trouble
34.462868,-38.43759,lo
-8.77388,57.132244,across
14.931898,-36.929253,desire
66.31961,2.9060204,fifty
27.335047,40.858303,cloud
-29.91413,-47.579903,greater
-3.9885623,-31.21143,loved
41.67083,-40.084118,43
-52.258427,0.3385096,afterwards
-22.940924,-31.253752,thinking
-39.0511,-23.522932,happiness
28.161066,10.13722,spread
15.565437,-12.298425,lips
-28.143444,16.735064,show
-1.2888682,-63.77961,caesar
51.01009,-10.744127,gathered
15.272195,-11.527069,ear
-56.855766,-16.424414,lucy
-58.674316,-15.667916,mrs_jennings
19.07158,-2.091978,drew
-16.469358,46.040207,struck
51.59401,4.3028264,court
64.049416,-26.677242,begat
16.027197,-47.826447,yourselves
-9.451621,22.019087,walking
-19.720047,-15.5805025,fact
-16.126078,-6.1312323,whatever
-15.812369,50.883297,shut
-9.453043,48.347584,big
-0.9401233,-17.09448,age
28.27144,39.565746,stars
37.465405,-11.03887,service
-9.926436,-54.19772,mad
-9.518024,24.639631,seat
-4.685399,6.909073,form
16.16768,-0.8326989,led
-33.551804,-19.643286,natural
33.948517,41.196003,mountain
-28.756855,-48.25081,worse
-46.37754,-1.3336127,talked
-45.742367,-11.302577,particular
6.837026,27.429905,around
-25.244665,-33.95664,nobody
-21.110996,-13.605307,exactly
60.12072,-5.520316,inhabitants
41.235992,-38.173576,48
31.054697,20.101036,grass
50.46222,9.212202,offered
7.6215687,16.656757,clear
-51.897873,-17.673624,obliged
3.3349342,53.15408,deck
-17.536423,-46.362377,appear
14.071577,-23.150583,rejoice
-55.166676,1.4592503,hours
-20.97569,-6.5207963,different
-7.763427,44.10082,heavy
-47.274117,14.718299,won_t
-36.87236,-28.172598,opinion
16.967188,12.650481,noise
40.30475,-31.613827,moreover
39.19066,5.8208933,places
43.700733,9.586458,sheep
48.25391,-21.77979,joshua
36.459133,28.11446,faces
33.006462,-15.576965,gather
-6.434323,43.72954,horse
7.044688,-18.96347,presence
-40.528236,-11.369107,giving
-47.52217,37.88884,tried
48.502487,5.6371355,beside
-57.501427,-17.716866,willoughby
-42.248833,-22.188198,acquaintance
29.406818,-15.9211645,cut_off
-24.981033,-17.971928,equal
2.7145512,-8.156115,touch
-11.110211,-34.459225,try
-11.650279,-16.501013,taste
-49.75499,20.561,ma_am
-12.394726,-47.251587,forget
37.24054,0.80326456,meat
-28.227104,9.025304,fancy
-36.084946,-25.279854,character
-16.82518,-34.93056,sorry
-60.485558,-18.563105,mr_elton
27.025316,6.510624,bound
-14.618465,-32.684994,says
9.083731,-18.906975,church
51.97567,24.051517,cubits
-14.57251,-35.423138,pay
-18.065243,-19.357552,purpose
48.983273,15.134137,fat
50.07242,-14.748972,fled
23.073656,52.202564,figure
-16.168402,-14.675935,charge
50.060535,-15.830593,arose
1.1715572,-27.071932,ashamed
65.49196,-22.524958,families
40.22831,-37.741,46
64.17705,-16.558886,reign
21.494137,-12.482709,fallen
13.172898,-32.249092,shame
10.565679,-29.971457,hearts
-47.890564,12.948603,?'
39.584286,-36.127018,45
1.6598454,-3.5721827,youth
20.413713,-28.21653,enemy
35.490833,-2.4042923,clothes
6.7695684,41.595554,road
15.835579,46.910923,broad
20.097185,-20.622217,destroyed
-40.07207,33.628162,father_brown
-7.8666415,31.071243,sudden
4.9842706,-20.348888,delight
22.55522,25.899967,streets
-34.02915,-16.324806,feeling
-13.072723,25.65896,cross
-39.654938,-26.394646,interest
36.03166,-22.003618,sought
25.11032,-22.693062,wherein
-44.56875,-12.260927,happened
53.70486,-14.489886,slew
40.2849,-18.2741,queen
46.22607,3.1648932,gates
28.163708,39.68274,moon
0.9664497,-40.803703,carry
-27.419697,-35.602974,meant
48.06627,-14.196725,slain
31.134033,-21.094208,dream
32.966408,13.440749,beasts
33.838818,-2.1919749,clean
